Player,2021/2022
,Player,"
							2021/22						","
							2022/23						","
							2023/24						","
							2024/25						","
							2025/26						","
							2026/27						"
"
						171.
					","

								Scottie Barnes							
","
							$7,280,400						","
							$7,644,600						","
							$8,008,680						","
							$10,130,980						","
							$13,362,763						","
							$0						"
"
						172.
					","

								Darius Garland							
","
							$7,040,880						","
							$8,920,794						","
							$11,828,974						","
							$0						","
							$0						","
							$0						"
"
						173.
					","

								Chris Boucher							
","
							$7,020,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						174.
					","

								PJ Tucker							
","
							$7,000,000						","
							$7,350,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						174.
					","

								Zach Collins							
","
							$7,000,000						","
							$7,350,000						","
							$7,700,000						","
							$0						","
							$0						","
							$0						"
"
						174.
					","

								DJ Augustin							
","
							$7,000,000						","
							$7,333,333						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						177.
					","

								Wendell Carter							
","
							$6,920,027						","
							$14,150,000						","
							$13,050,000						","
							$11,950,000						","
							$10,850,000						","
							$0						"
"
						178.
					","

								Juan Hernangomez							
","
							$6,907,815						","
							$7,419,505						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						179.
					","

								Isaac Okoro							
","
							$6,720,720						","
							$7,040,880						","
							$8,920,794						","
							$11,828,974						","
							$0						","
							$0						"
"
						180.
					","

								Jalen Suggs							
","
							$6,592,920						","
							$6,922,320						","
							$7,252,080						","
							$9,188,385						","
							$12,183,799						","
							$0						"
"
						181.
					","

								Cameron Payne							
","
							$6,500,000						","
							$6,000,000						","
							$6,500,000						","
							$0						","
							$0						","
							$0						"
"
						182.
					","

								Joakim Noah							
","
							$6,431,666						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						183.
					","

								Jarrett Culver							
","
							$6,395,160						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						184.
					","

								Khem Birch							
","
							$6,350,000						","
							$6,667,500						","
							$6,985,000						","
							$0						","
							$0						","
							$0						"
"
						185.
					","

								Collin Sexton							
","
							$6,349,671						","
							$8,559,356						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						186.
					","

								Onyeka Okongwu							
","
							$6,104,280						","
							$6,395,160						","
							$8,109,063						","
							$10,817,490						","
							$0						","
							$0						"
"
						187.
					","

								Justin Holiday							
","
							$6,006,420						","
							$6,292,440						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						188.
					","

								Josh Giddey							
","
							$5,988,000						","
							$6,287,400						","
							$6,587,040						","
							$8,352,367						","
							$11,142,057						","
							$0						"
"
						189.
					","

								Patrick Mills							
","
							$5,890,000						","
							$6,184,500						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						189.
					","

								Rudy Gay							
","
							$5,890,000						","
							$6,184,500						","
							$6,479,000						","
							$0						","
							$0						","
							$0						"
